用户ID,性别,年龄,归属地,客户类型,在网时长,换机频率,终端品牌,终端类型,最近使用操作系统偏好,入网渠道类型,渠道类型描述,上网流量使用,漫游流量使用,总收入,增值收入,流量收入,短信收入,彩信收入,语音收入,是否欠费,产品大类,产品分类
09E070A34392662C9D6ABE1D904A4D48,男,27,北京,公众客户,60,频繁换机型,小米,3G,ANDROID 4.4.4,1,自有渠道,223.178162,0,44.8,20,5,15,0,10.8,否,国内流量套餐,10元100MB国内流量套餐
0A9BF71BA97AB2041494FF6E340379E6,男,37,邯郸,公众客户,1,频繁换机型,英特奇,3G,ANDROID 2.3.6,2,社会渠道,40.091757,0,1.45,0.4,0.3,0.1,0.1,1.05,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
0BF3C3FD441702E9A052061EED9F1C43,男,47,廊坊,公众客户,7,频繁换机型,酷派,3G,ANDROID,2,社会渠道,68.979897,0.051348,32.15,0,0.3,0.8,0,16.15,否,本地套餐,4G本地套餐-16元套餐
0CC8775A10E9CD6D75115656B6BD65D5,女,32,北京,公众客户,27,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,1703.395915,1.871007,99.3,53.72,52.2,3.04,0,5.58,是,智慧沃家共享,智慧沃家共享套餐-全国流量包79.9元2GB
0E6BF2F4A5BD4154F53549BA873FB12F,女,15,北京,公众客户,113,频繁换机型,华为,4G,ANDROID 4.4.2,2,社会渠道,1385.238386,501.485876,223,75,60,15,0,72,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
13D870304EF69DA7C0340D6907ED3C1C,女,45,邢台,公众客户,2,频繁换机型,广信,4G,ANDROID 4.4.4,2,社会渠道,49.965059,0,44.65,21.6,15,1.6,1.6,13.05,否,4G本地语音套餐,4G本地语音套餐-10元套餐
13FB6C03126DCD3D243E8E1622FF8134,男,45,天津,公众客户,63,频繁换机型,三星,3G,ANDROID 4.1.1,1,自有渠道,2871.941323,2699.087634,180.6,120,120,0.1,0,3.6,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
14E3787D95241508D2406CB2E79B4CF1,男,28,邯郸,公众客户,5,频繁换机型,三星,4G,ANDROID 4.4.4,1,自有渠道,1003.847077,7.024538,53.39,5.6,4.8,0.8,0.8,7.05,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
1518E5F94FD1D70E24A5A6C7D5D49AD0,女,41,天津,公众客户,133,频繁换机型,小米,2G,ANDROID 4.4.4,1,自有渠道,381.629845,20.788781,58.9,14.3,6.3,5,0,4.6,否,本地套餐,4G本地套餐-40元套餐（京津）
166A15A5FFBA9C968FAEF91E0B02E65A,女,24,秦皇岛,公众客户,6,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,1476.320736,1139.656976,51.45,8.7,3,5.7,5.7,6.75,否,本地套餐,4G本地套餐-16元套餐
17CAC58A553CAAD652CE3283EE589340,男,28,北京,公众客户,78,频繁换机型,欧珀,3G,ANDROID,2,社会渠道,1087.35134,998.543289,46.6,17.7,16.8,0.9,0.9,15.9,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
17E920B944F0E4F35097BAE1CCDA75FF,男,45,石家庄,公众客户,129,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,409.514708,0.538732,33.5,0,0.3,1.6,0,7.5,否,本地套餐,4G本地套餐-26元套餐
183AB3B9FFC8141CEDA242238F06A01E,女,32,天津,公众客户,121,频繁换机型,小米,2G,ANDROID 4.2.2,1,自有渠道,111.922618,2.512623,45.6,0,0.9,5,0,19.6,否,本地套餐,4G本地套餐-26元套餐
186DB2BEDCDB976DDFAC37C5E9B6ED63,男,40,北京,公众客户,60,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,1445.687933,714.154558,484.56,10.96,174.1,2.86,0,33.6,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
1A3C41B8A05F47876DB7722869578850,男,27,北京,公众客户,1,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,4.554446,0.50542,11,1.6,1.5,0.1,0.1,9.4,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
006BF69AA6CC9583DC2D9127CA3A1E79,女,17,承德,公众客户,1,频繁换机型,小米,4G,ANDROID 4.4.2,2,社会渠道,51.890497,0,45.9,15.7,15.6,0.1,0.1,10.2,否,4G本地语音套餐,4G本地语音套餐-20元套餐
00E0E6C715D18942286B9E419351A952,男,29,邯郸,公众客户,45,频繁换机型,三星,4G,ANDROID 4.4.2,2,社会渠道,1231.810698,0,37.3,21.9,20.7,1.2,1.2,1.4,否,省内流量套餐,10元150MB省内流量套餐
02A143332ACFCB94769694B7AF3DBA5B,男,23,北京,公众客户,45,频繁换机型,苹果,4G,IOS 9.0,2,社会渠道,1811.384593,517.29587,186.5,105.5,86.4,10,0.1,15,否,校园专属-非小区A套餐,校园专属-沃派36元A套餐
0407E4D658D0A77AC21C92FFA8924A08,男,34,北京,公众客户,9,频繁换机型,苹果,4G,IOS 9.0,2,社会渠道,1125.500464,227.100958,86.44,68.86,68.1,0.76,0,5.58,是,校园专属-非小区A套餐,校园专属-沃派36元A套餐
041BE0BE7878A5601220DC5B1FB24726,女,19,石家庄,公众客户,9,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,5857.811503,4367.81237,334.6,180.6,157.8,3.1,3.1,58,否,校园专属-非小区B套餐,校园专属-沃派26元B套餐
042A942EFB856D7DF70D79068E67E8D6,女,39,邯郸,公众客户,102,频繁换机型,奥珀,4G,ANDROID,2,社会渠道,0.905226,0,36.95,3,0.3,2.4,2.7,23.95,否,4G本地语音套餐,4G本地语音套餐-10元套餐
0503EE92D5719B683D21AE715028D626,男,51,石家庄,公众客户,48,频繁换机型,华为,4G,ANDROID,1,自有渠道,615.623331,126.819301,189.2,106.4,102.3,3.4,3.5,46.8,否,4G本地语音套餐,4G本地语音套餐-36元套餐（冀）
0639BD6357EEF50D024EABE7FED69DE0,女,29,北京,公众客户,3,频繁换机型,三星,3G,ANDROID 4.1.2,1,自有渠道,512.777975,0,26.9,12.4,11.7,0.7,0.7,4.5,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
063A9916DB3D5E06970D8B3FC65F962B,男,18,秦皇岛,公众客户,27,频繁换机型,欧珀,4G,ANDROID,2,社会渠道,152.713742,0,30.55,2.4,0.9,1.5,1.5,12.15,否,本地套餐,4G本地套餐-16元套餐
06C0F4748EEE89734E9E3C7174231E5F,女,43,承德,公众客户,98,频繁换机型,,0,,2,社会渠道,0.009117,0,21.05,0.4,0.3,0.1,0.1,10.65,否,4G本地语音套餐,4G本地语音套餐-10元套餐
07011D7DEEA64C964B3F1579DBB32BE2,男,21,北京,公众客户,90,频繁换机型,魅族,4G,ANDROID 5.1,2,社会渠道,1964.074078,0,146.9,92.1,77.1,15,0,0.8,否,省内流量套餐,60元1.5GB省内流量套餐
077A7A918599EFBBB26DAA602162CD46,男,23,邯郸,公众客户,6,频繁换机型,首云,3G,,2,社会渠道,0.004421,0,13.9,0,0.3,0.3,0,3.9,否,4G本地语音套餐,4G本地语音套餐-10元套餐
0A7ACE81B501E9FB8F6DBE7AF0BC6913,男,28,北京,公众客户,24,频繁换机型,苹果,4G,IOS 7.0,2,社会渠道,1013.85516,0,85.25,7,1.2,0.8,0.8,8.25,否,国内流量套餐,30元500MB国内流量套餐
0A94D7FF47F16B8BA9F206A44D49F155,男,23,石家庄,公众客户,33,频繁换机型,华为,4G,ANDROID 4.4.2,2,社会渠道,956.514727,0,110.72,35.8,26.7,8.6,9.1,57.75,否,校园专属-非小区B套餐,校园专属-沃派26元B套餐
0ABC6F0E537E61C0F6D99A8DCF308CC3,女,43,天津,公众客户,180,频繁换机型,华为,4G,ANDROID 5.1,1,自有渠道,849.90843,0,49.95,3,8.4,3,0,6.95,否,本地套餐,4G本地套餐-40元套餐（京津）
0B3A35C3DD3C70E5E691C363BB331909,男,36,邯郸,公众客户,2,频繁换机型,三星,3G,ANDROID 4.2.2,1,自有渠道,7.02452,0,10.59,1.46,0.8,0.9,0.77,9.13,否,4G本地行业套餐,集团客户4G企业套餐（河北试点）
0E18CB547CF4EAF07A6A8F86D4E5C300,女,44,天津,公众客户,78,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,1246.592509,36.469035,181.65,65,60,5,0,10.65,是,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
10973F6C4165D81D7FBC9AB454C49107,女,42,石家庄,公众客户,1,频繁换机型,魅族,4G,,1,自有渠道,236.98646,0,21.3,3.8,3.6,0.2,0.2,4.5,否,本地套餐,4G本地套餐-26元套餐
113F29D8D02FB362D93D364F4ECA89E2,男,36,石家庄,公众客户,1,频繁换机型,金立,4G,,2,社会渠道,181.614629,0,54.2,53.9,52.8,1.1,1.1,0.3,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
11B4BD83915B62B495A2801996C63A51,女,46,张家口,公众客户,49,频繁换机型,维沃,4G,ANDROID,2,社会渠道,0.311759,0,16.5,0.5,0.3,0.2,0.2,6,否,4G本地语音套餐,4G本地语音套餐-10元套餐
1310094096D5A7737266CBFA5AD459F4,男,61,天津,公众客户,56,频繁换机型,佳奇昌,2G,ANDROID 4.1.2,2,社会渠道,0.013859,0,105.6,0,0.3,3,0,92.04,是,4G本地语音套餐,4G本地语音套餐-26元套餐
132863AD001A32309C634B560368EE07,男,43,唐山,公众客户,154,频繁换机型,欧珀,2G,ANDROID 4.4.4,2,社会渠道,0.343474,0,54.8,2.5,0.3,2.2,2.2,42.3,否,4G本地语音套餐,4G本地语音套餐-10元套餐
137D8F9CFDAB0DD2CCC3450BB6DFCD43,男,41,石家庄,公众客户,166,频繁换机型,华为,4G,ANDROID,2,社会渠道,151.570722,0,17.4,1.1,0.9,0.2,0.2,0.3,否,本地套餐,4G本地套餐-16元套餐
14E07C05DAC5B4BC4885C076564C7A87,男,54,保定,公众客户,104,频繁换机型,诺基亚,3G,WINDOWS PHONE 8.1,2,社会渠道,0.003429,0,15.75,0.5,0.3,0.2,0.2,5.25,否,4G本地语音套餐,4G本地语音套餐-10元套餐
015A7C11EA8691FEC152C99A2AFB227E,男,34,北京,公众客户,71,频繁换机型,小米,4G,ANDROID 5.1.1,1,自有渠道,1214.42802,467.112381,127.15,57.9,57.3,0.6,0.6,59.25,是,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
01B37CCD74D87E78C9CEE72CA4F52BE1,女,24,天津,公众客户,8,频繁换机型,欧珀,4G,ANDROID,1,自有渠道,210.690542,21.832626,51.7,0.1,6.6,0.1,0,25.6,否,本地套餐,4G本地套餐-26元套餐
03312393D0F14EFCAD8426E9B617EC48,男,27,天津,公众客户,16,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,2994.470557,169.717893,229.22,0.26,110,0.26,0,0.96,是,国内流量套餐,120元3GB国内流量套餐
038A9848E8EAB54368DBBF4D6A0B6031,男,44,天津,公众客户,57,频繁换机型,苹果,3G,IOS,2,社会渠道,517.721228,176.160008,79.94,10.11,6.9,5,0,5.23,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
038E3B6A9C80C435A959820208EC3BBF,男,43,北京,公众客户,19,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,904.55418,904.55418,210.78,13.32,50,13.32,0.8,39.46,否,基本套餐,196元基本套餐（含国内语音500分钟，国内流量3GB）
03A79D22CF4533AD1E3B99179725EF57,女,29,邯郸,公众客户,2,频繁换机型,小米,3G,ANDROID 4.1.1,2,社会渠道,444.766609,0,39.6,3.7,0.6,3.1,3.1,9.9,否,本地套餐,4G本地套餐-26元套餐
04B276B3C0F21196FDC670E6E6D58CFA,男,26,天津,公众客户,22,频繁换机型,苹果,3G,IOS 7.0,1,自有渠道,939.091363,201.130562,188.72,13.64,51,13.04,0.6,15.08,否,国内流量套餐,60元1GB国内流量套餐
052FE37F24AF354E9D934F7F3C62450C,男,45,北京,公众客户,8,频繁换机型,苹果,4G,IOS 7.0,1,自有渠道,276.114378,168.264165,22.7,4.9,4.2,0.7,0.7,7.8,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
0673424B48F3350DFE8A5A88AAE25361,男,46,天津,公众客户,54,频繁换机型,小米,2G,ANDROID 4.2.1,1,自有渠道,0.005311,0,34.3,5.3,0.3,5,0,3,否,4G本地语音套餐,4G本地语音套餐-26元套餐
06A419CCAEC6809E1A75D613F8D05765,男,51,天津,公众客户,15,频繁换机型,三星,3G,ANDROID 4.1.2,1,自有渠道,154.685291,0,96.15,46.7,46.5,0.2,0,3.45,是,4G本地语音套餐,4G本地语音套餐-46元套餐
079D921418EFD996A7C9D4ED40F2C620,女,43,天津,公众客户,19,频繁换机型,小米,4G,ANDROID 5.0,2,社会渠道,2414.225668,0,145.45,53.6,53.4,0.2,0,11.85,是,本地套餐,4G本地套餐-40元套餐（京津）
086CA44BACAFF798C1929458A34AFA94,男,22,北京,公众客户,1,频繁换机型,维沃,4G,ANDROID,1,自有渠道,791.5667,64.697393,65.95,19.8,19.5,0.3,0.3,6.15,否,本地套餐,4G本地套餐-40元套餐（京津）
094CB218605E6BD244CABF779FCC1D02,男,45,天津,公众客户,152,频繁换机型,,0,,1,自有渠道,0.13999,0,57.1,8.3,0.3,8,0,22.8,否,4G本地语音套餐,4G本地语音套餐-26元套餐
0B1568D93D5E60D362B1B40CE81FC57B,男,24,保定,公众客户,62,频繁换机型,苹果,3G,IOS 7.0,1,自有渠道,383.410058,72.601933,197.03,97.71,88.95,1.76,0,85.32,否,国内流量套餐,10元100MB国内流量套餐
0BA60268E7A80114DC8C7C08EB8E0A99,男,31,张家口,公众客户,32,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,894.147549,0,92.18,0,8.4,0.3,0,45.6,否,4G本地语音套餐,4G本地语音套餐-26元套餐（冀）
0C01BFE4FF4EC8E99E62FBABD4E8692C,女,29,北京,公众客户,38,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,1138.034434,1138.034434,180.68,34.12,33.6,0.52,0,10.56,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
0C505B54D21D8E72EBA0EFD3D6CC6115,女,26,北京,公众客户,23,频繁换机型,华为,4G,ANDROID 4.2.2,2,社会渠道,374.82749,0,79.98,15.4,12,3.4,3.4,7.5,否,国内流量套餐,10元100MB国内流量套餐
0C6652A8247748ABE865227F879B65C7,男,75,石家庄,公众客户,3,频繁换机型,小米,3G,ANDROID 4.3,2,社会渠道,15.00784,0,83.4,8.6,4.5,4.1,4.1,64.8,否,4G本地语音套餐,4G本地语音套餐-10元套餐
0CA79BE730920644947C1E5BA4CD2F1D,女,32,天津,公众客户,12,频繁换机型,魅族,4G,,2,社会渠道,1033.713114,12.446377,11.85,3.3,3,0.3,0.3,2.55,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
0CED928313CF5E1A31AADDD044BEBE77,男,36,北京,公众客户,61,频繁换机型,苹果,4G,IOS 9.0,2,社会渠道,5427.628483,1.88791,188.22,0.8,14.5,0.8,0.8,4.82,否,基本套餐,196元基本套餐（含国内语音500分钟，国内流量3GB）
0DAE3B8B2B6E4E0FEA6406FB13D515C8,男,32,北京,公众客户,17,频繁换机型,华为,4G,ANDROID 5.1,1,自有渠道,797.02494,1.992514,55.2,9.4,0.6,0.8,0.8,2.8,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
0E45943C6DD3704304A637B58DDE154B,女,40,唐山,公众客户,164,频繁换机型,诺基亚,3G,,1,自有渠道,0.904451,0,48.2,0.9,0.3,0.6,0.6,27.3,否,4G本地语音套餐,4G本地语音套餐-20元套餐
0E991224D5CAA07D4E5C2BC6036AC9E0,男,39,天津,公众客户,42,频繁换机型,维沃,4G,ANDROID,1,自有渠道,3026.163974,8.303834,147.4,1.9,1.8,0.1,0,11.55,否,国内流量套餐,90元2GB国内流量套餐
0F14AEC7785FED09898112A50D8BF0A0,女,39,邢台,公众客户,1,频繁换机型,三星,3G,ANDROID 4.1.2,2,社会渠道,0.1022,0,24.7,3.9,0.3,3.6,3.6,10.8,否,4G本地语音套餐,4G本地语音套餐-10元套餐
01084D1226EC14759DBA717ECED25896,男,47,天津,公众客户,98,频繁换机型,维沃,2G,ANDROID,2,社会渠道,150.452319,0.01601,52.45,3.3,0.3,3,0,21.15,否,省内流量套餐,10元150MB省内流量套餐
0176D7D3EC6AAC080CC9D084F673C9A5,女,38,天津,公众客户,7,频繁换机型,苹果,4G,IOS 9.0,1,自有渠道,1546.382731,668.752873,355,235.7,201,5.2,0,97.65,否,本地套餐,4G本地套餐-26元套餐
01C369BB1E0C1EE170A2F9CF5B69D9DB,女,23,天津,公众客户,58,频繁换机型,苹果,2G,IOS 8.0,2,社会渠道,74.559085,51.045569,38,15.8,15.6,0.2,0,8.2,否,省内流量套餐,10元150MB省内流量套餐
02E4E8C6D34873CC567FD38AAF3CDE5B,男,50,张家口,公众客户,4,频繁换机型,三星,3G,ANDROID 4.0.4,2,社会渠道,15.293489,0,17.75,7.3,4.8,0.1,0.1,0.45,否,4G本地语音套餐,4G本地语音套餐-10元套餐
03D05273C85DE6DA9D0C416E37EABB05,女,24,北京,公众客户,10,频繁换机型,魅族,4G,ANDROID 5.1.0,2,社会渠道,3327.334028,3327.334028,83.3,60.2,60,0.2,0.2,8.1,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
045F4E31296146C2B38476B1628CE4C6,女,,张家口,公众客户,34,频繁换机型,小米,2G,ANDROID 5.0,2,社会渠道,37.716281,3.797815,22.6,12,11.4,0.6,0.6,0.6,否,4G本地语音套餐,4G本地语音套餐-10元套餐
05EB8689BD7BB20D2B1690F2E62C23FA,男,24,北京,公众客户,57,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,2258.464345,1957.022959,219.82,91.4,41.4,35,0,12.15,否,国内流量套餐,60元1GB国内流量套餐
063E813BF955D08DF52CE5271477FECE,女,38,北京,公众客户,48,频繁换机型,华为,4G,ANDROID 5.1,1,自有渠道,1370.741096,480.269394,148.89,38.8,35.1,4,4,51.15,否,智慧沃家共享,智慧沃家共享套餐-全国流量包79.9元2GB
07ACB55A3EF31764E219C6E0EEF96637,男,46,天津,公众客户,108,频繁换机型,比美,2G,,1,自有渠道,0.014422,0.003887,75.6,0,0.3,4.1,0,35.6,否,本地套餐,4G本地套餐-40元套餐（京津）
07C2590A5EEBCC0CE31FE8767DEEBA26,男,27,北京,公众客户,55,频繁换机型,华为,4G,ANDROID 5.1,2,社会渠道,193.475187,0.000947,24.02,0.26,5,0.26,0,10.76,否,国内流量套餐,10元100MB国内流量套餐
08CB58E0894B26E23BF6B1D86E775700,男,32,天津,公众客户,11,频繁换机型,,0,,2,社会渠道,839.483545,83.556813,167.34,8.12,15,8.12,0,62.22,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
09AE541C21FDC26B66E10FC7273DA045,男,19,沧州,公众客户,3,频繁换机型,小米,4G,ANDROID 4.4.2,2,社会渠道,848.956337,0,106.05,58.9,55.2,11,1,21.15,否,4G本地语音套餐,4G本地语音套餐-26元套餐（冀）
0ADAA48579E927674AE91873D469F7A7,女,43,天津,公众客户,1,频繁换机型,欧珀,2G,ANDROID 4.3,2,社会渠道,39.552589,10.46404,10.5,4.2,3.3,0.9,0.9,6.3,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
